Player,Age,total_games,rows
Jeimer Candelario,16,1931,1
Aaron Judge,16,1777,1
Ian Happ,14,1774,1
Ryan McMahon,14,1753,1
Willy Adames,14,1720,1
Matt Chapman,15,1680,1
Hunter Renfroe,15,1632,1
Dansby Swanson,14,1623,1
Cody Bellinger,14,1592,1
Raimel Tapia,16,1590,1
J.P. Crawford,14,1577,1
Dominic Smith,14,1558,1
Manuel Margot,14,1524,1
Shohei Ohtani,14,1501,1
Amed Rosario,14,1486,1
Jorge Alfaro,17,1484,2
Miguel Andujar,15,1417,1
Jorge Mateo,15,1415,1
Jesse Winker,14,1402,1
Kevin Newman,14,1387,1
Carson Kelly,15,1362,1
Albert Almora Jr.,14,1346,1
Scott Kingery,14,1321,1
Tyler O'Neill,14,1306,1
Yoán Moncada,14,1306,1
Luis Robert Jr.,14,1055,1
Danny Jansen,14,1045,1
Christian Arroyo,14,918,1
Carson Kelly,18,183,2
Manuel Margot,21,170,3
Ronny Mauricio,21,169,2
Richard Urena,21,167,3
Ozzie Albies,21,158,1
Michael Harris II,21,157,2
Jackson Merrill,21,156,1
Ronald Acuña Jr.,21,156,1
Clint Frazier,20,155,2
Jackson Chourio,20,155,2
Ryan McMahon,21,154,2
Andy Pages,21,154,2
Raimel Tapia,21,154,2
Junior Caminero,21,154,1
Ozzie Albies,20,154,2
Ezequiel Tovar,21,153,1
Rafael Devers,19,153,2
Isan Díaz,20,152,2
Jackson Holliday,21,149,1
Bobby Bradley,21,149,2
Tyler O'Neill,21,149,2
Leody Taveras,19,148,2
Gabriel Arias,18,148,2
Willie Calhoun,21,146,2
Jordan Walker,21,146,2
Jahmai Jones,21,146,2
Jackson Chourio,21,144,3
Heliot Ramos,18,143,2
Masyn Winn,21,142,2
Willy Adames,20,142,2
Coby Mayo,21,140,1
Amed Rosario,21,140,2
Jordan Walker,20,140,2
Alex Verdugo,20,139,2
Ronald Acuña Jr.,19,139,1
Ryan Clifford,21,139,1
Ozzie Albies,19,138,1
Nick Gordon,20,137,2
Edwin Arroyo,21,137,2
Luis Lara,20,136,1
Josh Lowe,21,136,2
Ethan Salas,18,136,2
Elly De La Cruz,21,136,2
Mickey Moniak,21,136,2
Franklin Barreto,21,136,2
Jake Bauers,20,135,1
Andrés Giménez,20,135,2
Luis Lara,19,135,2
Alex Verdugo,21,135,3
Leody Taveras,18,134,1
Drew Waters,20,134,1
Tyler Soderstrom,20,134,1
Ian Happ,21,134,1
Ronald Acuña Jr.,20,134,2
Moisés Ballesteros,21,134,2
Jorge Mateo,21,133,2
Jackson Holliday,20,133,2
George Valera,21,132,1
Jake Bauers,21,132,1
George Lombard Jr.,20,132,1
Brayan Rocchio,21,132,1
Ryan McMahon,20,132,1
Anthony Volpe,21,132,1
Dominic Smith,20,132,2
Luis Urías,21,132,2
Taylor Trammell,20,132,2
Fernando Tatis Jr.,18,131,1
Jose Miranda,20,131,1
Bobby Bradley,20,131,1
Bo Bichette,20,131,1
Liover Peguero,21,131,3
Jeimer Candelario,19,131,2
Cole Young,21,131,2
Leody Taveras,20,131,1
James Wood,21,131,2
Lazaro Montes,20,131,1
Miguel Andujar,20,130,1
Jett Williams,21,130,1
Miguel Andujar,21,130,1
Willy Adames,21,130,1
Cristian Pache,20,130,1
Dominic Smith,21,130,1
Ryan Clifford,20,130,1
Alex Kirilloff,20,130,1
Colt Emerson,19,130,1
Brady House,21,129,1
Roman Anthony,21,129,2
Brice Turang,19,129,1
James Wood,20,129,1
Austin Riley,20,129,1
Austin Riley,19,129,1
Pedro Ramírez,21,129,1
Taylor Trammell,19,129,1
Kyle Tucker,21,128,2
Austin Hays,21,128,1
Cody Bellinger,19,128,1
Alfredo Duno,19,128,2
Rafael Devers,18,128,2
Jake Bauers,19,128,1
Jackson Chourio,19,128,1
Jeimer Candelario,21,128,1
Francisco Alvarez,21,127,2
Ryan Mountcastle,20,127,1
Brandon Marsh,20,127,1
Nick Pratto,19,127,1
Owen Caissie,21,127,1
Miguel Andujar,19,127,1
Samuel Basallo,19,127,1
Jahmai Jones,19,127,1
Austin Meadows,20,127,1
Richard Urena,20,127,1
Eloy Jiménez,19,127,2
Zyhir Hope,20,127,1
Sam Huff,21,127,1
Royce Lewis,20,127,1
Cole Young,19,126,1
Taylor Trammell,21,126,1
Ryan McMahon,19,126,1
Colt Keith,21,126,1
Carter Jensen,20,126,1
Michael Chavis,21,126,1
Nolan Jones,21,126,1
Gleyber Torres,18,126,1
Dominic Smith,19,126,1
Zac Veen,20,126,1
Dylan Carlson,20,126,1
Sebastian Walcott,19,125,2
Bryson Stott,19,125,2
Joe Mack,21,125,1
Nick Senzel,21,125,2
Franklin Barreto,19,125,2
Albert Almora Jr.,20,125,1
Gleyber Torres,19,125,1
Willy Adames,18,125,1
Cole Young,20,125,2
Orelvis Martinez,21,125,1
Roderick Arias,19,125,2
Jackson Holliday,19,125,1
Nolan Gorman,19,125,1
Jeimer Candelario,20,125,1
Riley Greene,20,124,1
A.J. Ewing,20,124,1
Termarr Johnson,20,124,1
Alex Verdugo,19,124,1
Nick Pratto,20,124,1
Bobby Witt Jr.,21,124,1
Moisés Ballesteros,20,124,1
J.P. Crawford,21,123,1
Kevin Maitan,19,123,1
Keston Hiura,21,123,1
Ian Happ,20,123,2
Jahmai Jones,20,123,1
Edwin Arroyo,19,123,1
Derek Fisher,21,123,1
Jarred Kelenic,21,123,2
Jarren Duran,21,123,2
J.P. Crawford,19,123,1
Owen Caissie,20,123,2
Tyler Freeman,20,123,1
Franklin Barreto,20,123,1
Mickey Moniak,19,123,1
Xavier Edwards,19,123,1
Gabriel Gonzalez,21,123,1
Druw Jones,21,123,1
Jesse Winker,21,123,1
Luis Urías,19,123,1
Carter Kieboom,20,123,1
Luis Robert Jr.,21,122,1
Monte Harrison,21,122,1
Vidal Bruján,20,122,1
Tyler Soderstrom,21,122,2
Cristian Pache,19,122,1
Raimel Tapia,20,122,1
Lewis Brinson,19,122,1
Konnor Griffin,19,122,1
Ralphy Velazquez,20,122,1
Yanquiel Fernández,21,122,1
Nick Gordon,21,122,1
Andrés Giménez,19,122,1
Robert Hassell III,21,121,1
Elly De La Cruz,20,121,1
Sebastian Walcott,18,121,1
Luisangel Acuña,21,121,1
Jett Williams,19,121,1
Jorge Alfaro,21,121,1
Michael Arroyo,19,121,1
Richard Urena,19,121,1
Travis Swaggerty,21,121,1
Spencer Torkelson,21,121,1
Michael Arroyo,20,121,1
Royce Lewis,19,121,1
Owen Caissie,19,121,2
Colton Welker,21,120,2
Arjun Nimmala,19,120,1
Joe Mack,20,120,1
Jeter Downs,19,120,1
Clint Frazier,19,120,1
Amed Rosario,20,120,1
Daulton Varsho,19,120,2
Nolan Jones,20,120,1
Cooper Pratt,20,120,1
Scott Kingery,21,120,2
Kyle Tucker,20,120,1
Andy Pages,20,120,1
Carter Kieboom,21,120,2
Gabriel Arias,19,120,1
Nick Gordon,19,120,1
Jasson Domínguez,19,120,1
Triston Casas,19,120,1
Clint Frazier,21,119,1
Roman Anthony,20,119,1
Masyn Winn,20,119,1
Termarr Johnson,21,119,1
Andrew Benintendi,20,119,2
Nolan Gorman,21,119,1
Pete Alonso,19,119,2
Christian Arroyo,21,119,1
Cam Collier,19,119,1
Jose Miranda,21,119,1
Cristian Pache,18,119,1
Jeter Downs,20,119,1
Vladimir Guerrero Jr.,18,119,1
Leo De Vries,18,118,1
Jasson Domínguez,20,118,1
Sal Stewart,21,118,1
Orelvis Martinez,20,118,1
Sam Huff,20,118,1
Josh Lowe,19,118,1
Junior Caminero,19,117,1
Sal Stewart,19,117,1
Jorge Mateo,20,117,1
Ke'Bryan Hayes,21,117,1
Jarred Kelenic,19,117,1
Cody Bellinger,20,117,1
Brice Turang,21,117,1
Yanquiel Fernández,20,117,1
Lazaro Montes,19,117,1
Moisés Ballesteros,19,117,1
Kyle Tucker,19,117,1
Gavin Lux,20,116,1
Carter Jensen,19,116,1
Franklin Arias,19,116,1
Bryce Eldridge,19,116,1
Ceddanne Rafaela,21,116,1
Gabriel Gonzalez,19,116,1
Adam Haseley,21,116,2
Chance Sisco,21,116,1
Aidan Miller,21,116,1
Ronny Mauricio,18,116,1
Geraldo Perdomo,19,116,1
Harry Ford,21,116,1
Heliot Ramos,21,116,1
Edwin Arroyo,18,116,1
Kevin Newman,21,116,2
Jac Caglianone,21,116,3
Pedro Ramírez,20,116,1
Miguel Amaya,19,116,1
James Triantos,21,115,1
Manuel Margot,19,115,1
Ryan Mountcastle,19,115,1
Gabriel Arias,21,115,1
Jesús Made,18,115,1
Ryan Clifford,19,115,1
Dylan Carlson,18,115,1
Oswald Peraza,21,115,1
Noelvi Marte,20,115,1
Adael Amador,19,115,1
Carson Williams,20,115,1
Anthony Alford,21,115,2
Carson Williams,21,115,1
Luis Campusano,20,114,2
Mickey Moniak,20,114,1
Brendan Rodgers,21,114,1
Yusniel Díaz,20,114,1
Victor Robles,20,114,1
Keibert Ruiz,19,114,2
Alek Thomas,19,114,1
Daulton Varsho,18,114,2
Drew Waters,19,114,1
Colton Welker,20,114,1
Tyler O'Neill,20,114,2
Jackson Merrill,20,114,1
Samuel Basallo,18,114,1
Ronaldo Hernández,21,114,2
Chance Sisco,19,114,1
Nico Hoerner,19,114,2
Eduardo Quintero,19,113,1
Carter Jensen,18,113,1
Gavin Lux,21,113,1
Ronaldo Hernández,20,113,2
Carson Williams,19,113,1
James Triantos,19,113,1
Jorge Alfaro,20,113,1
Miguel Amaya,20,112,2
Jazz Chisholm Jr.,20,112,1
Jake Bauers,18,112,1
Dylan Carlson,19,112,1
Gunnar Henderson,21,112,1
Robert Hassell III,20,112,1
Yanquiel Fernández,19,112,1
Francisco Alvarez,20,112,1
Justin Crawford,21,112,1
Kevin Alcántara,19,112,1
Eduardo Tait,18,112,1
Jonathan India,21,112,2
Jesse Winker,19,112,1
Jazz Chisholm Jr.,21,112,1
Max Clark,20,111,1
Blake Mitchell,19,111,1
Joey Ortiz,20,111,2
MJ Melendez,19,111,1
Fernando Tatis Jr.,19,111,2
Gavin Lux,19,111,1
Carter Jensen,21,111,1
Kevin Alcántara,21,111,1
Cam Collier,18,111,1
Edgar Quero,19,111,1
Luisangel Acuña,19,111,1
Austin Hendrick,21,110,1
Bobby Bradley,19,110,1
Manuel Margot,20,110,1
Isan Díaz,21,110,1
Nick Yorke,21,110,1
George Lombard Jr.,19,110,1
Brendan Rodgers,19,110,1
Angel Genao,20,110,1
MJ Melendez,20,110,1
Justin Crawford,20,110,1
Victor Robles,19,110,1
Pavin Smith,21,110,2
Estevan Florial,19,110,1
Robert Hassell III,19,110,1
Trevor Larnach,21,110,2
Adael Amador,21,110,2
Bo Bichette,19,110,1
Hunter Renfroe,21,109,2
Christian Arroyo,20,109,2
Travis Swaggerty,20,109,2
JJ Bleday,21,109,2
Druw Jones,20,109,1
Michael Chavis,19,109,1
Anthony Volpe,20,109,1
Matt Chapman,21,108,2
Josh Jung,21,108,2
Evan Carter,20,108,1
Carson Kelly,20,108,1
Joey Bart,21,108,2
Nathan Flewelling,18,108,1
Josue De Paula,19,108,1
Wyatt Langford,21,108,2
Eloy Jiménez,21,108,1
Ke'Bryan Hayes,20,108,1
Brayan Rocchio,20,108,1
Ronny Mauricio,20,108,1
Austin Riley,21,108,1
Bo Naylor,19,107,1
Anthony Alford,20,107,1
Samuel Basallo,20,107,2
Harry Ford,19,107,2
Caleb Bonemer,19,107,1
J.P. Crawford,20,107,1
Andrew Vaughn,21,107,2
Max Clark,19,107,1
Noelvi Marte,19,107,1
Miguel Bleis,21,107,1
Pete Crow-Armstrong,21,107,1
Alex Freeland,21,106,1
Dylan Crews,21,106,2
Willy Adames,19,106,1
Evan Carter,19,106,1
Albert Almora Jr.,21,106,1
Roman Anthony,19,106,1
Alek Thomas,21,106,1
Elijah Green,20,106,1
Jefferson Rojas,20,106,1
Yoán Moncada,21,106,1
Bryson Stott,21,106,2
Marco Luciano,19,106,1
Zac Veen,19,106,1
Termarr Johnson,19,105,1
Jordan Lawlar,20,105,1
Gunnar Henderson,20,105,1
Kevin Parada,21,105,1
Josh Lowe,20,105,1
Keston Hiura,18,105,2
Oneil Cruz,18,105,1
Amed Rosario,19,105,1
Pedro Ramírez,19,104,1
Shohei Ohtani,21,104,1
Ezequiel Tovar,19,104,1
Logan O'Hoppe,21,104,1
Felnin Celesten,19,104,1
Michael Busch,19,104,2
Coby Mayo,20,104,1
Daulton Varsho,20,104,2
Curtis Mead,20,104,1
Roderick Arias,20,104,1
Oneil Cruz,19,103,1
Austin Wells,21,103,1
Luke Keaschall,21,103,1
Bobby Dalbec,21,102,2
Xavier Isaac,20,102,1
Xavier Isaac,19,102,1
Bryce Eldridge,20,102,1
Kevin Alcántara,20,102,1
Ceddanne Rafaela,20,102,1
Josue De Paula,20,102,1
Drew Romo,20,102,1
Ryan Mountcastle,21,102,1
Aidan Miller,20,102,1
Bradley Zimmer,21,102,2
Heliot Ramos,19,102,1
Ralphy Velazquez,19,101,1
Edgar Quero,20,101,1
Zack Collins,21,101,2
Michael Harris II,20,101,1
Keibert Ruiz,18,101,1
Tre' Morgan,21,101,1
Pete Crow-Armstrong,20,101,1
Brandon Marsh,21,101,1
Luke Keaschall,19,101,2
Jordan Lawlar,19,100,1
Brennen Davis,21,100,1
Lewis Brinson,21,100,1
Adam Haseley,20,100,2
Thayron Liranzo,20,100,1
Josue Briceño,20,100,1
Matt Shaw,21,100,2
Jackson Chourio,18,99,1
Vidal Bruján,21,99,1
Nick Yorke,20,99,2
Emmanuel Rodriguez,20,99,1
Jo Adell,19,99,1
Francisco Alvarez,19,99,1
Austin Wells,19,98,2
Keston Hiura,20,98,2
Edgar Quero,21,98,1
Austin Hays,19,98,2
Kyle Manzardo,18,98,2
Nico Hoerner,20,98,2
Shea Langeliers,21,98,2
Orelvis Martinez,19,98,1
Ozzie Albies,18,98,1
Jaison Chourio,19,98,1
Cam Smith,21,98,2
Endy Rodríguez,21,98,1
Carson Kelly,19,98,1
Masyn Winn,19,98,1
Oscar Colás,20,97,1
Jarren Duran,19,97,2
Nick Yorke,19,97,1
Yusniel Díaz,21,97,1
Pavin Smith,20,97,2
Nick Gonzales,20,97,2
Alec Bohm,21,97,2
Christian Moore,21,97,2
Alec Bohm,20,97,2
Andrew Benintendi,21,97,1
Matt Shaw,20,96,2
Joey Wiemer,20,96,2
Kahlil Watson,21,96,1
Cooper Pratt,19,96,1
Cooper Ingle,20,96,2
Colson Montgomery,20,96,1
Jefferson Rojas,19,96,1
Carson Kelly,21,96,1
Luis Peña,18,96,1
Cam Collier,20,96,1
Thayron Liranzo,19,96,2
Cam Smith,20,95,2
Ian Happ,18,95,2
Drake Baldwin,20,95,2
Jeferson Quero,19,95,1
Kevin Newman,19,95,2
Drew Romo,21,95,1
Vladimir Guerrero Jr.,19,95,1
Chance Sisco,20,95,1
Diego Cartaya,20,95,1
Joey Ortiz,18,95,2
Matt McLain,19,95,2
Miguel Bleis,20,95,1
Adley Rutschman,21,94,2
Joey Ortiz,19,94,2
Jordan Beck,20,94,2
Ian Happ,19,94,2
Dalton Rushing,21,94,2
Luke Keaschall,18,94,3
Nolan Schanuel,20,94,2
Travis Bazzana,20,94,2
Alex Kirilloff,21,94,1
Diego Cartaya,21,93,1
Justin Gonzales,18,93,1
Leo De Vries,17,93,2
Dansby Swanson,21,93,2
Kyle Manzardo,21,93,1
Corbin Carroll,21,93,1
Aiva Arquette,21,92,2
Brayden Taylor,21,92,2
Jordan Beck,21,92,2
Austin Hays,20,92,2
Jorge Alfaro,19,92,2
Noelvi Marte,21,92,1
Jarren Duran,20,92,2
Andrés Giménez,18,92,1
Marcelo Mayer,19,91,1
Derek Fisher,19,91,2
Brett Baty,21,91,1
Kyle Teel,21,91,2
